date,place,amount,category,note
2026-04-01,Phở 24,55000,food,sáng
2026-04-01,Highlands Coffee,45000,cafe,
2026-04-01,Grab đi làm,30000,transport,
2026-04-02,Cơm tấm Sài Gòn,65000,food,trưa
2026-04-02,The Coffee House,55000,cafe,
2026-04-02,Bánh mì chảo,25000,food,chiều
2026-04-03,Pizza Hut,280000,food,tối cùng đồng nghiệp
2026-04-03,Grab,35000,transport,
2026-04-04,Phở Thìn,80000,food,trưa
2026-04-04,Highlands Coffee,55000,cafe,
2026-04-04,Đổ xăng xe máy,60000,transport,
2026-04-05,CGV Landmark,120000,entertainment,xem phim cuối tuần
2026-04-05,Gogi House,420000,food,tối cùng bạn
2026-04-05,Grab,45000,transport,
2026-04-05,Gong Cha,65000,cafe,
2026-04-06,The Coffee House,55000,cafe,
2026-04-06,Cơm tấm Phúc Lộc Thọ,55000,food,trưa
2026-04-06,Tiki - sách kỹ năng,180000,education,
2026-04-07,Phở Lý Quốc Sư,60000,food,sáng
2026-04-07,Starbucks,85000,cafe,
2026-04-07,Grab,40000,transport,
2026-04-08,Bún bò Huế,70000,food,trưa
2026-04-08,Highlands Coffee,55000,cafe,
2026-04-08,Shopee - áo thun,350000,shopping,
2026-04-09,Cơm văn phòng,50000,food,trưa
2026-04-09,Cafe Milano,40000,cafe,
2026-04-09,Tiền điện tháng 4,450000,home,
2026-04-10,Phở 24,55000,food,sáng
2026-04-10,Highlands Coffee,45000,cafe,
2026-04-10,Khám răng định kỳ,500000,health,
